epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,333.838,1.70719,1.54159,0.00442,0.88961,0.84425,0.91785,0.52495,1.47285,0.72185,0.00644,0.000554968,0.000554968,0.000554968
2,661.428,1.67776,0.81,0.00437,0.87645,0.83802,0.90808,0.52377,1.49816,0.71131,0.00671,0.00107398,0.00107398,0.00107398
3,988.892,1.66153,0.76186,0.00433,0.87824,0.83793,0.90831,0.53569,1.48204,0.72908,0.00654,0.00155633,0.00155633,0.00155633
4,1321.37,1.64908,0.74101,0.00428,0.91062,0.87547,0.9388,0.5424,1.47416,0.61428,0.00662,0.00150197,0.00150197,0.00150197
5,1653.51,1.62434,0.70917,0.0042,0.91166,0.88087,0.94072,0.55991,1.44446,0.56798,0.00626,0.00144696,0.00144696,0.00144696
6,1989.36,1.60568,0.67964,0.00411,0.91921,0.89177,0.95227,0.57438,1.40326,0.53531,0.006,0.00139195,0.00139195,0.00139195
7,2328.56,1.59629,0.65833,0.00401,0.91763,0.89953,0.95189,0.57424,1.41266,0.53366,0.00602,0.00133693,0.00133693,0.00133693
8,2671.12,1.59032,0.64361,0.00398,0.92474,0.90384,0.95708,0.58803,1.3877,0.50442,0.00587,0.00128192,0.00128192,0.00128192
9,3012.1,1.5694,0.63117,0.00397,0.92484,0.90705,0.95803,0.5821,1.40333,0.50304,0.00593,0.00122691,0.00122691,0.00122691
10,3352.65,1.55972,0.61711,0.00394,0.92748,0.90882,0.96006,0.59516,1.37359,0.48914,0.00579,0.0011719,0.0011719,0.0011719
11,3695.19,1.54382,0.60474,0.00389,0.93097,0.91423,0.96225,0.5976,1.37347,0.47684,0.00576,0.00111689,0.00111689,0.00111689
12,4038.85,1.53875,0.59305,0.00388,0.9336,0.91467,0.96451,0.60454,1.35505,0.46592,0.00563,0.00106188,0.00106188,0.00106188
13,4386.3,1.52819,0.57616,0.00376,0.93404,0.91644,0.96557,0.60627,1.35349,0.45645,0.00562,0.00100687,0.00100687,0.00100687
14,4734.62,1.52958,0.57333,0.00375,0.93567,0.92106,0.96763,0.60904,1.35294,0.45673,0.00562,0.000951857,0.000951857,0.000951857
15,5083.89,1.52484,0.5681,0.00375,0.93768,0.92187,0.96694,0.61064,1.34724,0.45153,0.00558,0.000896846,0.000896846,0.000896846
16,5454.56,1.51373,0.55985,0.00371,0.93554,0.92618,0.96917,0.61142,1.3454,0.44294,0.00558,0.000841835,0.000841835,0.000841835
17,5797.01,1.50087,0.54937,0.00372,0.93947,0.9286,0.96998,0.61457,1.33941,0.43697,0.00551,0.000786824,0.000786824,0.000786824
18,6141.31,1.49999,0.54271,0.00365,0.94029,0.92889,0.97043,0.61707,1.32986,0.43263,0.00548,0.000731813,0.000731813,0.000731813
19,6485.1,1.48984,0.53715,0.00361,0.94335,0.93094,0.97232,0.62097,1.32819,0.42789,0.00544,0.000676802,0.000676802,0.000676802
20,6827.52,1.4761,0.53055,0.00358,0.94268,0.93117,0.97248,0.6227,1.32802,0.42489,0.00543,0.000621791,0.000621791,0.000621791
21,7175.24,1.4401,0.472,0.0042,0.94126,0.93013,0.97182,0.62065,1.32755,0.42767,0.00544,0.00056678,0.00056678,0.00056678
22,7508.86,1.43615,0.46156,0.00412,0.94345,0.93171,0.97294,0.62347,1.3235,0.42328,0.0054,0.000511769,0.000511769,0.000511769
23,7842.14,1.4232,0.45567,0.00408,0.94477,0.93245,0.97336,0.62779,1.31605,0.41982,0.00537,0.000456758,0.000456758,0.000456758
24,8175.1,1.41224,0.45006,0.00404,0.94435,0.93416,0.97367,0.62709,1.31447,0.42037,0.00534,0.000401747,0.000401747,0.000401747
25,8507.27,1.40065,0.44351,0.004,0.94407,0.93425,0.97351,0.62885,1.31148,0.42215,0.00533,0.000346736,0.000346736,0.000346736
26,8839.66,1.39132,0.43537,0.00397,0.94715,0.93522,0.97454,0.63015,1.31056,0.4172,0.00532,0.000291725,0.000291725,0.000291725
27,9174.5,1.38373,0.43045,0.00391,0.94587,0.93612,0.97459,0.63212,1.30795,0.41547,0.0053,0.000236714,0.000236714,0.000236714
28,9508.98,1.37258,0.42457,0.00391,0.94647,0.93745,0.97479,0.63144,1.30881,0.414,0.0053,0.000181703,0.000181703,0.000181703
29,9839.96,1.36609,0.41998,0.00385,0.94707,0.93679,0.97467,0.63382,1.30483,0.41398,0.00529,0.000126692,0.000126692,0.000126692
30,10169.6,1.3612,0.41781,0.00379,0.94644,0.93852,0.97514,0.63393,1.3048,0.41358,0.00528,7.1681e-05,7.1681e-05,7.1681e-05
